CODERING DATABASE	OMSCHRIJVING VAKMAN MUTATIE	EENHEID	Matriaal per stuk EXCL BTW	Uren per stuk EXCL BTW	Prijs per stuk EXCL BTW	TOTAAL EXCL BTW	TOTAAL INCL BTW	OMSCHRIJVING OFFERTE MUTATIE
0000011001	Badkamerrenovatie >0 - 2 m²	stu	€ 6,285.20	€ 0.00	€ 6,285.20	€ 0.00	€ 0.00	Badkamerrenovatie >0 - 2 m²
0000011002	Badkamerrenovatie >2 - 3 m²	stu	€ 7,351.41	€ 0.00	€ 7,351.41	€ 0.00	€ 0.00	Badkamerrenovatie >2 - 3 m²
0000011003	Badkamerrenovatie >3 - 4 m²	stu	€ 8,179.59	€ 0.00	€ 8,179.59	€ 0.00	€ 0.00	Badkamerrenovatie >3 - 4 m²
0000011004	Badkamerrenovatie >4 - 5 m²	stu	€ 8,947.05	€ 0.00	€ 8,947.05	€ 0.00	€ 0.00	Badkamerrenovatie >4 - 5 m²
0000011005	Badkamerrenovatie >5 - 6 m²	stu	€ 9,759.12	€ 0.00	€ 9,759.12	€ 0.00	€ 0.00	Badkamerrenovatie >5 - 6 m²
0000011006	Badkamerrenovatie >6 m²	stu	€ 10,815.94	€ 0.00	€ 10,815.94	€ 0.00	€ 0.00	Badkamerrenovatie >6 m²
0000011010	toeslag wasmachine aansluiting vervangen incl. riolering	stu	€ 160.47	€ 0.00	€ 160.47	€ 0.00	€ 0.00	toeslag wasmachine aansluiting vervangen incl. riolering
0000011011	toeslag toilet in badkamer incl. aanpassen waterleidingen en riolering	stu	€ 723.69	€ 0.00	€ 723.69	€ 0.00	€ 0.00	toeslag toilet in badkamer incl. aanpassen waterleidingen en riolering
0000011012	toeslag radiator vervangen	stu	€ 182.30	€ 0.00	€ 182.30	€ 0.00	€ 0.00	toeslag radiator vervangen
0000021001	Toiletrenovatie gemiddeld 1,10 m² incl. fontein	stu	€ 2,759.78	€ 0.00	€ 2,759.78	€ 0.00	€ 0.00	Toiletrenovatie gemiddeld 1,10 m² incl. fontein
0000021010	Minderwerk toiletrenovatie excl. fontein	stu	-€ 249.78	€ 0.00	-€ 249.78	€ 0.00	€ 0.00	Minderwerk toiletrenovatie excl. fontein
0000031001	Keukenrenovatie tot en met 1800 mm	stu	€ 4,380.76	€ 0.00	€ 4,380.76	€ 0.00	€ 0.00	Keukenrenovatie tot en met 1800 mm
0000031002	Keukenrenovatie groter dan 1800 mm	stu	€ 4,837.87	€ 0.00	€ 4,837.87	€ 0.00	€ 0.00	Keukenrenovatie groter dan 1800 mm
0000031010	Perilex voorziening t.b.v. elektrisch koken inclusief gasvoorziening afdoppen en verwijderen	stu	€ 221.64	€ 0.00	€ 221.64	€ 0.00	€ 0.00	Perilex voorziening t.b.v. elektrisch koken inclusief gasvoorziening afdoppen en verwijderen
0000031011	Toeslag keukenladekast	stu	€ 140.78	€ 0.00	€ 140.78	€ 0.00	€ 0.00	Toeslag keukenladekast
0000051050	Coating met Schönox HA Pro (WOONFORTE REGEL)	M2	€ 14.97	€ 0.00	€ 14.97	€ 0.00	€ 0.00	Coating met Schönox HA Pro (WOONFORTE REGEL)
0010005001	afvalcontainer open 6 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 354.20	€ 0.00	€ 354.20	€ 0.00	€ 0.00	afvalcontainer open 6 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
0010005002	afvalcontainer open 10 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 434.50	€ 0.00	€ 434.50	€ 0.00	€ 0.00	afvalcontainer open 10 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
0010005003	puincontainer open-schoon puin 6 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 154.00	€ 0.00	€ 154.00	€ 0.00	€ 0.00	puincontainer open-schoon puin 6 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
0010005004	puincontainer open-schoon puin 10 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 224.40	€ 0.00	€ 224.40	€ 0.00	€ 0.00	puincontainer open-schoon puin 10 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
0010005008	afvalcontainer open 15 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 836.00	€ 0.00	€ 836.00	€ 0.00	€ 0.00	afvalcontainer open 15 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
0010005009	puincontainer open-schoon puin 15 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 358.60	€ 0.00	€ 358.60	€ 0.00	€ 0.00	puincontainer open-schoon puin 15 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
0010005012	puincontainer gesloten 10 m3 schoon puin alleen van toepassing bij werkzaamheden buiten het prijzenboek om	stu	€ 301.40	€ 0.00	€ 301.40	€ 0.00	€ 0.00	puincontainer gesloten 10 m3 schoon puin alleen van toepassing bij werkzaamheden buiten het prijzenboek om
